341300000000,1,1,34/3413.html,安徽省,宿州市
410300000000,1,1,41/4103.html,河南省,洛阳市
411500000000,1,1,41/4115.html,河南省,信阳市
420100000000,1,1,42/4201.html,湖北省,武汉市
420500000000,1,1,42/4205.html,湖北省,宜昌市
441900000000,1,1,44/4419.html,广东省,东莞市
610100000000,1,1,61/6101.html,陕西省,西安市
110112000000,2,1,11/01/110112.html,北京市,市辖区,通州区
120117000000,2,1,12/01/120117.html,天津市,市辖区,宁河区
130207000000,2,1,13/02/130207.html,河北省,唐山市,丰南区
130208000000,2,1,13/02/130208.html,河北省,唐山市,丰润区
130224000000,2,3,13/02/130224.html,河北省,唐山市,滦南县
130408000000,2,1,13/04/130408.html,河北省,邯郸市,永年区
130523000000,2,3,13/05/130523.html,河北省,邢台市,内丘县
130533000000,2,3,13/05/130533.html,河北省,邢台市,威县
130623000000,2,3,13/06/130623.html,河北省,保定市,涞水县
130881000000,2,2,13/08/130881.html,河北省,承德市,平泉市
130982000000,2,2,13/09/130982.html,河北省,沧州市,任丘市
131082000000,2,2,13/10/131082.html,河北省,廊坊市,三河市
140423000000,2,3,14/04/140423.html,山西省,长治市,襄垣县
140621000000,2,3,14/06/140621.html,山西省,朔州市,山阴县
140823000000,2,3,14/08/140823.html,山西省,运城市,闻喜县
141034000000,2,3,14/10/141034.html,山西省,临汾市,汾西县
141123000000,2,3,14/11/141123.html,山西省,吕梁市,兴县
150124000000,2,3,15/01/150124.html,内蒙古自治区,呼和浩特市,清水河县
150784000000,2,2,15/07/150784.html,内蒙古自治区,呼伦贝尔市,额尔古纳市
152528000000,2,5,15/25/152528.html,内蒙古自治区,锡林郭勒盟,镶黄旗
211224000000,2,3,21/12/211224.html,辽宁省,铁岭市,昌图县
211422000000,2,3,21/14/211422.html,辽宁省,葫芦岛市,建昌县
220871000000,2,1,22/08/220871.html,吉林省,白城市,吉林白城经济开发区
230904000000,2,1,23/09/230904.html,黑龙江省,七台河市,茄子河区
320312000000,2,1,32/03/320312.html,江苏省,徐州市,铜山区
320506000000,2,1,32/05/320506.html,江苏省,苏州市,吴中区
320623000000,2,3,32/06/320623.html,江苏省,南通市,如东县
321023000000,2,3,32/10/321023.html,江苏省,扬州市,宝应县
330203000000,2,1,33/02/330203.html,浙江省,宁波市,海曙区
330206000000,2,1,33/02/330206.html,浙江省,宁波市,北仑区
330211000000,2,1,33/02/330211.html,浙江省,宁波市,镇海区
330226000000,2,3,33/02/330226.html,浙江省,宁波市,宁海县
330304000000,2,1,33/03/330304.html,浙江省,温州市,瓯海区
330328000000,2,3,33/03/330328.html,浙江省,温州市,文成县
330329000000,2,3,33/03/330329.html,浙江省,温州市,泰顺县
330382000000,2,2,33/03/330382.html,浙江省,温州市,乐清市
330681000000,2,2,33/06/330681.html,浙江省,绍兴市,诸暨市
331002000000,2,1,33/10/331002.html,浙江省,台州市,椒江区
331003000000,2,1,33/10/331003.html,浙江省,台州市,黄岩区
331121000000,2,3,33/11/331121.html,浙江省,丽水市,青田县
331123000000,2,3,33/11/331123.html,浙江省,丽水市,遂昌县
331126000000,2,3,33/11/331126.html,浙江省,丽水市,庆元县
331181000000,2,2,33/11/331181.html,浙江省,丽水市,龙泉市
340181000000,2,2,34/01/340181.html,安徽省,合肥市,巢湖市
340203000000,2,1,34/02/340203.html,安徽省,芜湖市,弋江区
340221000000,2,3,34/02/340221.html,安徽省,芜湖市,芜湖县
341021000000,2,3,34/10/341021.html,安徽省,黄山市,歙县
341221000000,2,3,34/12/341221.html,安徽省,阜阳市,临泉县
341225000000,2,3,34/12/341225.html,安徽省,阜阳市,阜南县
341302000000,2,1,34/13/341302.html,安徽省,宿州市,埇桥区
341322000000,2,3,34/13/341322.html,安徽省,宿州市,萧县
350122000000,2,3,35/01/350122.html,福建省,福州市,连江县
350125000000,2,3,35/01/350125.html,福建省,福州市,永泰县
350203000000,2,1,35/02/350203.html,福建省,厦门市,思明区
350303000000,2,1,35/03/350303.html,福建省,莆田市,涵江区
350304000000,2,1,35/03/350304.html,福建省,莆田市,荔城区
350502000000,2,1,35/05/350502.html,福建省,泉州市,鲤城区
350521000000,2,3,35/05/350521.html,福建省,泉州市,惠安县
350982000000,2,2,35/09/350982.html,福建省,宁德市,福鼎市
360112000000,2,1,36/01/360112.html,江西省,南昌市,新建区
360430000000,2,3,36/04/360430.html,江西省,九江市,彭泽县
360482000000,2,2,36/04/360482.html,江西省,九江市,共青城市
360821000000,2,3,36/08/360821.html,江西省,吉安市,吉安县
360830000000,2,3,36/08/360830.html,江西省,吉安市,永新县
360881000000,2,2,36/08/360881.html,江西省,吉安市,井冈山市
360925000000,2,3,36/09/360925.html,江西省,宜春市,靖安县
360926000000,2,3,36/09/360926.html,江西省,宜春市,铜鼓县
361003000000,2,1,36/10/361003.html,江西省,抚州市,东乡区
361181000000,2,2,36/11/361181.html,江西省,上饶市,德兴市
370832000000,2,3,37/08/370832.html,山东省,济宁市,梁山县
370921000000,2,3,37/09/370921.html,山东省,泰安市,宁阳县
371702000000,2,1,37/17/371702.html,山东省,菏泽市,牡丹区
410221000000,2,3,41/02/410221.html,河南省,开封市,杞县
410225000000,2,3,41/02/410225.html,河南省,开封市,兰考县
410304000000,2,1,41/03/410304.html,河南省,洛阳市,瀍河回族区
410472000000,2,1,41/04/410472.html,河南省,平顶山市,平顶山市新城区
410621000000,2,3,41/06/410621.html,河南省,鹤壁市,浚县
411081000000,2,2,41/10/411081.html,河南省,许昌市,禹州市
411325000000,2,3,41/13/411325.html,河南省,南阳市,内乡县
411421000000,2,3,41/14/411421.html,河南省,商丘市,民权县
411481000000,2,2,41/14/411481.html,河南省,商丘市,永城市
411502000000,2,1,41/15/411502.html,河南省,信阳市,浉河区
411525000000,2,3,41/15/411525.html,河南省,信阳市,固始县
411625000000,2,3,41/16/411625.html,河南省,周口市,郸城县
420114000000,2,1,42/01/420114.html,湖北省,武汉市,蔡甸区
420115000000,2,1,42/01/420115.html,湖北省,武汉市,江夏区
420582000000,2,2,42/05/420582.html,湖北省,宜昌市,当阳市
420682000000,2,2,42/06/420682.html,湖北省,襄阳市,老河口市
420821000000,2,3,42/08/420821.html,湖北省,荆门市,京山县
420984000000,2,2,42/09/420984.html,湖北省,孝感市,汉川市
421022000000,2,3,42/10/421022.html,湖北省,荆州市,公安县
421087000000,2,2,42/10/421087.html,湖北省,荆州市,松滋市
421125000000,2,3,42/11/421125.html,湖北省,黄冈市,浠水县
421321000000,2,3,42/13/421321.html,湖北省,随州市,随县
422823000000,2,3,42/28/422823.html,湖北省,恩施土家族苗族自治州,巴东县
430224000000,2,3,43/02/430224.html,湖南省,株洲市,茶陵县
430381000000,2,2,43/03/430381.html,湖南省,湘潭市,湘乡市
430424000000,2,3,43/04/430424.html,湖南省,衡阳市,衡东县
430528000000,2,3,43/05/430528.html,湖南省,邵阳市,新宁县
430702000000,2,1,43/07/430702.html,湖南省,常德市,武陵区
430721000000,2,3,43/07/430721.html,湖南省,常德市,安乡县
430723000000,2,3,43/07/430723.html,湖南省,常德市,澧县
430922000000,2,3,43/09/430922.html,湖南省,益阳市,桃江县
433123000000,2,3,43/31/433123.html,湖南省,湘西土家族苗族自治州,凤凰县
440103000000,2,1,44/01/440103.html,广东省,广州市,荔湾区
440511000000,2,1,44/05/440511.html,广东省,汕头市,金平区
440512000000,2,1,44/05/440512.html,广东省,汕头市,濠江区
440606000000,2,1,44/06/440606.html,广东省,佛山市,顺德区
441323000000,2,3,44/13/441323.html,广东省,惠州市,惠东县
441502000000,2,1,44/15/441502.html,广东省,汕尾市,城区
441521000000,2,3,44/15/441521.html,广东省,汕尾市,海丰县
441624000000,2,3,44/16/441624.html,广东省,河源市,和平县
441721000000,2,3,44/17/441721.html,广东省,阳江市,阳西县
441823000000,2,3,44/18/441823.html,广东省,清远市,阳山县
441900003000,2,0,44/19/441900003.html,广东省,东莞市,东城街道办事处
441900004000,2,0,44/19/441900004.html,广东省,东莞市,南城街道办事处
441900005000,2,0,44/19/441900005.html,广东省,东莞市,万江街道办事处
441900006000,2,0,44/19/441900006.html,广东省,东莞市,莞城街道办事处
441900101000,2,0,44/19/441900101.html,广东省,东莞市,石碣镇
441900102000,2,0,44/19/441900102.html,广东省,东莞市,石龙镇
441900103000,2,0,44/19/441900103.html,广东省,东莞市,茶山镇
441900104000,2,0,44/19/441900104.html,广东省,东莞市,石排镇
441900105000,2,0,44/19/441900105.html,广东省,东莞市,企石镇
441900106000,2,0,44/19/441900106.html,广东省,东莞市,横沥镇
441900107000,2,0,44/19/441900107.html,广东省,东莞市,桥头镇
441900108000,2,0,44/19/441900108.html,广东省,东莞市,谢岗镇
441900109000,2,0,44/19/441900109.html,广东省,东莞市,东坑镇
441900110000,2,0,44/19/441900110.html,广东省,东莞市,常平镇
441900111000,2,0,44/19/441900111.html,广东省,东莞市,寮步镇
441900112000,2,0,44/19/441900112.html,广东省,东莞市,樟木头镇
441900113000,2,0,44/19/441900113.html,广东省,东莞市,大朗镇
441900114000,2,0,44/19/441900114.html,广东省,东莞市,黄江镇
441900115000,2,0,44/19/441900115.html,广东省,东莞市,清溪镇
441900116000,2,0,44/19/441900116.html,广东省,东莞市,塘厦镇
441900117000,2,0,44/19/441900117.html,广东省,东莞市,凤岗镇
441900118000,2,0,44/19/441900118.html,广东省,东莞市,大岭山镇
441900119000,2,0,44/19/441900119.html,广东省,东莞市,长安镇
441900121000,2,0,44/19/441900121.html,广东省,东莞市,虎门镇
441900122000,2,0,44/19/441900122.html,广东省,东莞市,厚街镇
441900123000,2,0,44/19/441900123.html,广东省,东莞市,沙田镇
441900124000,2,0,44/19/441900124.html,广东省,东莞市,道滘镇
441900125000,2,0,44/19/441900125.html,广东省,东莞市,洪梅镇
441900126000,2,0,44/19/441900126.html,广东省,东莞市,麻涌镇
441900127000,2,0,44/19/441900127.html,广东省,东莞市,望牛墩镇
441900128000,2,0,44/19/441900128.html,广东省,东莞市,中堂镇
441900129000,2,0,44/19/441900129.html,广东省,东莞市,高埗镇
441900401000,2,0,44/19/441900401.html,广东省,东莞市,松山湖管委会
441900402000,2,0,44/19/441900402.html,广东省,东莞市,东莞港
441900403000,2,0,44/19/441900403.html,广东省,东莞市,东莞生态园
442000001000,2,0,44/20/442000001.html,广东省,中山市,石岐区街道办事处
442000002000,2,0,44/20/442000002.html,广东省,中山市,东区街道办事处
442000003000,2,0,44/20/442000003.html,广东省,中山市,火炬开发区街道办事处
442000004000,2,0,44/20/442000004.html,广东省,中山市,西区街道办事处
442000005000,2,0,44/20/442000005.html,广东省,中山市,南区街道办事处
442000006000,2,0,44/20/442000006.html,广东省,中山市,五桂山街道办事处
442000100000,2,0,44/20/442000100.html,广东省,中山市,小榄镇
442000101000,2,0,44/20/442000101.html,广东省,中山市,黄圃镇
442000102000,2,0,44/20/442000102.html,广东省,中山市,民众镇
442000103000,2,0,44/20/442000103.html,广东省,中山市,东凤镇
442000104000,2,0,44/20/442000104.html,广东省,中山市,东升镇
